"userid","ope","con","ext","agr","neu","message"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","WEEKEND. I LOVE YOU."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is listening to Relient K and thinking about plants, lawyers, and internships."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is drawing instead of homeworking. :| This is fun, but not good."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","will sleep like a champion tonight."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","dishes, webcomics, laziness, internal lack of disruption. Alright."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has a magical ceiling."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","hates FML on principle."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is a little excited to see the talent show."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is tired. She would sleep, but there's a cat on her desk that requires supervision."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","needs a stupid, fluffy book to read inbetween experiences of normalcy."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","spews toxic gas into your personal air bubble. It's super effective!"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has a comfortably comfy and mildly oversized cotton jacket from Wal*Mart. Yay, it's so soft. <3 <3 <3"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","thinks Oviedo play was awesome (as it should be. Sleep, though-- she beckons sweetly with the promise of dreams and pillow-related comfort. Night all."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","just made a nucketful of cookies and a bunch of baked fries. :) Yes, I am awesome."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. Despite the late//early hour, this is only further awesomeness."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has a fair idea of how to manage the 2.5 kids cliche... She just needs a very strong gentleman named *PROPNAME* and thriteen wet napkins."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","saw Up. Also saw two Chuck Norris movies. FFFFFFFFFFFF- WEIRDEST MIX EVER."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has an Autobot lunchbox, and can therefore die happy now. :) In other news, she has also spent the last three hours on an off reading a webcomic that started in 1999."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3",", in the post office, with the long-overdue copy of Photoshop for a friend. I win at the game of Clue."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","Clakclakclak rawrrrrr mel haxxxxxx RWRRRRRRRR LOLZLOLZLOLZLOLZ IM SO HOOD PUNK STOOPID YO"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","We are not who you think we are. We are Golden."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","I am a lumberjack with a Castro Hat."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","The day you wake up and realize you've just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","actually doesn't mind coloring with markers as much as she thought. Yay for coloring vividly creepy villainesses! :D"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","drove to a gas station. Number of times sent into a panic behind the wheel: 6. I hate 40 mph zones. D;"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","A Great New Year to everybody. :) <3 Make the best of everything you see, and never let the bad stuff keep you down for long!"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has 48 hours to do pretty much all her break work, clean her room, do the dishes, rearrange the furniture in her room, and practive drop spins maybe a dozen more times. XD Why not, right?"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is open to requests."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is frankly at a loss as far as her current internal project."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is gonna stay awake all night. Then I should be able to just pass out at 9 PM tomorrow (today)."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","can't sleep. Remedies?"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","Why are the people I want to talk to never online when I am?"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","needs to stop stressing over her personal stuff. Homework beckons with a bejeweled, smirking claw, and I must answer, tethered by iron to the responsibilities of real life."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is in love with her hair today. <3"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","was right. :) Today was pretty much fantastic, all around."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","feels tomorrow will be a busy and very nice day. :)"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is in the last day of her two-day mad dash to finish. Can she get all her work done it time???"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","Is it a problem if my main reason to come to Facebook now is to join groups and become a fan of things?"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","had a three hour nap this afternoon and can't sleep because of it."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","My dogs are so hood."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is on a roll; one short of a turkey, now."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","can't breathe and feels like her insides are clawing their way out through her belly button. I hate pain."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is reflecting on it and is actually very happy she's not in IB right now."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has her class ring in with it's changes! Whoop whoop! <3 :D"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","KISS. KISS. LICK. <3"
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","is too lazy to put her stuff back in order. Maybe tomorrow."
"b7b7764cfa1c523e4e93ab2a79a946c4","4.4","3.25","2.65","3.15","3","has a serious crush on *PROPNAME*. <3"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","has bed bugs..... ewwwww!"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","and mosquito bites"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Mondays are the new thursdays- anthony bourdain + *PROPNAME*  = forgetting your financial troubles"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is annoyed with herself"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is not turning on her cell at the moment, or for the next few days- dont take it personally."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Is trying to figure out everything....."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","wants no more friend or exboyfriend drama drama"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is out for the count"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Its the little things in life- fresh flowers, katie ion, netflix instant movies"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is bummed the instant movie didnt pull through"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","wants to go to paris. anyone care to accompany me?"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","one minute at a time"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Loves avoiding burning a whole in her pocket. Lesportsac purses and DVD overload."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","really hates California's economy right now"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","I lost.....my ex is in a relationship before me"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Is having a great day so far, thanks to santa paula noon meetings. and my mom."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is *PROPNAME*'s bestbian"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","misses the ability to drive"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Mi familia de la cuidad de mexico esta aqui! Necesito que practicar mi espanol."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Is wearing red lipstick, watching movies, hot boys, and her mother screech at the family dog..... ""random"" doesnt even begin to describe this scene"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","anthony bourdain bliss"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Turbo tax tried charging me $140 dollars to process my taxes. my mom did it for free. fuck you turbo tax and thanks mom for saving the day."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is on her way up north to face her judgement"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Target is my savior- sandals, dresses and shirts, oh my!"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is slightly smitten with the phoenix family. its weird, i know."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is hoping to finally get a break tomorrow!"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","rhinanna is just getting crazier and crazier. or more stupid."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","feels like a bum without legs"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Having a job again is weird, but welcome."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is 3 years to go"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","s electronics are giving out."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is celebrating her 90th day with dieting and work whahooo! not."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is in love with her new black peacoat. Who else is pumped it's fall?"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is sick in an way she's never been physically sick before. feels like a hangover mixed with the flu mixed with weakness and nausea"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","hates the business that is the United States' healthcare system"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","thinks Rhianna's Italian Vogue photoshoot is in bad taste and inappropriate. yuck."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is excited for NBC thursdays- especially excited for community"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is in love with *PROPNAME*."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","""La Vie En Rose""- there are no words. Absolutely brilliant, honest, and beautiful movie."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is flashing lights kanye style"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","i got a break! a $3000 healthcare break! whoooooo"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is actually going to see someone besides my mother on my day off. No offense mom. U r fabulous but im turning into a 13-year-old not-out-of-the-closet-yet gay man by the amount of time i spend with you."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","ARGGGGGGGGGGGGG!!!!!!!"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","true blood is getting me in the halloween spirit. damn, bill is hot."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","michael scott dancing in the booze cruise episode is really entertaining to me right now."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","the office, cleaning, and hanging con mi madre are my drugs of choice this evening"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","RIP Prague nights Fall semester 2007"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","needs a hot hair cut. anyone know where i can get a fierce one for under 50 in vc?"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","wants to know when she became a single 35-year-old lady. Tonight I visited a dating site and watched ""accidentally on purpose"" and felt for the characters. seriously?!"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is ready for her day off"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","life is looking up"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is excited to kick it old school with an old friend in a new place"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","why does netflix need me to have at least 6 dvds in my queue? i think 5 is quite enough, thank you gluttonous 'merica."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is rediscovering her love for bjork"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","money, teeth cleaning, g-ma's, bus, top secret errand, target, rodarte dress for $40(!!!), some warm and comfy- themed xmas shopping, spending time with mom, coffee, sephora.com, the office, stepping outside and forgetting how cold it gets without proper coverage- productive and selfindulgent bliss. not a bad day off."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","wants to find a way to san fran after the new year"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is in love. With *PROPNAME*."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is going to start using disposable cameras again- she agrees with stephanie that the anticipation of not knowing what will show up is very missed"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","thank you to everyone who sent me fb love and made my birthday more special than i could ever have imagined. im sooooooo lucky to have so many great souls in my life."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is very excite for today and this weekend."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","its a beautiful fall day in southern california."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","s g-ma is the coolest"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","wishes she was moving on up in the world. but at least she has ja'mie to get her through it."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Today is my 2 month birthday!"
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","intervention- heroine and xanax and crack- oh my."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","is having a bad day. not even target, shoes, nor a good guacamole carls jr. burger could bring me up."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","summer heights high. ja'mie, jonah, and mr. g. im hooked on chris lilley."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Um, amy poehler is rocking my world right now. seriously, the bad date rant was HYSTERICAL. tivo that shit. and by that shit, i mean parks and recreation."
"318bf822d4f2bd3920367560218619c0","3.75","4.5","4.5","3","4","Ten Movies to Watch Right Now (and some you can Instant Netflix) 1. La Vie En Rose 2. Shrink (if you love LA) 3. Paris Je'taime (if you love Paris) 3. Clay Pidgeons (*PROPNAME* is priceless) 4. Quills 5. Away We Go 6. Sunshine Cleaning 7. A League of Their Own 8. Smart People (I Heart *PROPNAME*'s Page and SJP) 9. Frost//Nixon 10. Doubt"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","is stuck on Band-Aid brand, cuz Band-Aid's stuck on me!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","Just going to grab some raw fish................"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","saw HP6... funny, lots of awesome awkward silences, but the scriptwriter needs to have his fingers broken. Not only did they achieve new and improved levels of editing important plot elements out, but they are getting increasingly more creative with the n"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","Need to re-learn my patterns again... awesome..."
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","FREE SLURPEE DAY!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","has GOT to stop waking up at 1pm..."
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","is not feeling exactly top-notch..."
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","will have too many notifications at the next log in..."
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","First day of school done! finances are going to be the end of me..."
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","is tired and for some reason is looking forward to classes starting..."
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","2 months of hell yet again... FML"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","got to play with fire in front of a crowd... YAY!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","is in love with Ren Fest..."
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","3 DAYS!!!!!!!!!!!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","What a great day!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","loves the Pirate English version of Facebook!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","has a choice..."
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","2 DAYS!!!!!!!!!!!!!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","Ren Fest with rain - Still good!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","kindly thanks everyone who wished him a happy birthday!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","finance class :("
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","GETS TO SLEEP TONIGHT!!!!!!!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","3 HOURS LEFT!!!!!!!!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","As much as I like our family's mechanic, I really wish we'd stop giving him so much business... :("
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","is dying!!! HEEEEELPPPPP!!!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","Saturday was easily one of the best days of my entire LIFE!!!"
"ecbddbfe00e0f83cfdb802a7186061c7","4.1","3.3","4.3","3.6","2.15","feeling slightly better..."
